ชื่อผู้รับเหมา,ตำแหน่งงาน,หน่วยงาน/โครงการ,จำนวนรวม,สัญชาติไทย,สัญชาติกัมพูชา,สัญชาติลาว,สัญชาติเมียนมาร์,จำนวนแรงงานผิดกฎหมาย,หมายเหตุ,วันที่บันทึกข้อมูล
นายสมศักดิ์ นุกูล,งานโครงสร้าง,Valles Haus,7,7,0,0,0,0,,2026-01-08 15:34:40
บจก.ที.โอ.บี ก่อสร้าง,งานโครงสร้าง,Valles Haus,49,1,0,0,48,0,,2026-01-08 15:34:40
บจก.เที่ยงตรง คอนสทรัคชั่น (2024),งานโครงสร้าง,Valles Haus,50,0,0,0,50,0,,2026-01-08 15:34:40
บจก.รอยยิ้มนักสู้ คอนสตรัคชั่น,งานโครงสร้าง,Valles Haus,26,0,0,0,26,2,,2026-01-08 15:34:40
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร,Valles Haus,11,0,6,0,5,0,,2026-01-08 15:34:40
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานไฟฟ้า,Valles Haus,4,0,3,0,1,0,,2026-01-08 15:34:40
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสกิมโค้ทและงานสี,Valles Haus,11,0,2,0,9,0,,2026-01-08 15:34:40
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างสำรวจ,Valles Haus,8,2,0,0,6,0,,2026-01-08 15:34:40
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เซฟตี้,Valles Haus,10,0,1,0,9,0,,2026-01-08 15:34:40
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,พนักงานบังคับทาวเวอร์เครน,Valles Haus,6,6,0,0,0,0,,2026-01-08 15:34:40
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,พนักงานริกเกอร์,Valles Haus,3,3,0,0,0,0,,2026-01-08 15:34:40
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,แม่บ้าน,Valles Haus,1,0,1,0,0,0,,2026-01-08 15:34:40
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,สโตร์,Valles Haus,8,1,2,0,5,0,,2026-01-08 15:34:40
บริษัท วิทวัตร การก่อสร้าง จำกัด,งานโครงสร้าง,Valles Haus,30,3,1,0,26,0,,2026-01-08 15:34:40
นางอรัญญา กลัดเข็มทอง (สันติ),งานไฟฟ้า,Sukhumvit 29 Hotel,3,0,0,3,0,3,,2026-01-08 16:08:35
หจก.จิตติพัฒน์ เจริญทรัพย์,เก็บงาน QC,Sukhumvit 29 Hotel,4,0,0,0,4,3,,2026-01-08 16:08:35
นายสิทธิ์ศักดิ์ แสงอรุณ (สมพงษ์),เก็บงาน QC,Canopy by Hilton (CBH SKV12),27,2,0,0,25,15,ผิด กม.เมียนมา 15,2026-01-08 18:12:56
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร,Canopy by Hilton (CBH SKV12),4,0,2,0,2,1,ผิด กม.เมียนมา 1,2026-01-08 18:12:56
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างกระเบื้อง,Canopy by Hilton (CBH SKV12),3,0,2,0,1,1,ผิด กม.กัมพูชา 1,2026-01-08 18:12:56
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างสำรวจ DC,Canopy by Hilton (CBH SKV12),6,2,2,0,2,1,ผิด กม.เมียนมา 1,2026-01-08 18:12:56
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,สโตร์,Canopy by Hilton (CBH SKV12),7,2,0,0,5,1,ผิด กม.เมียนมา 1,2026-01-08 18:12:56
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,SAFETY,Canopy by Hilton (CBH SKV12),7,0,2,0,5,3,ผิด กม.เมียนมา 1 กัมพูชา 2,2026-01-08 18:12:56
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,service,Canopy by Hilton (CBH SKV12),5,2,3,0,0,1,ผิด กม.กัมพูชา 1,2026-01-08 18:12:56
หจก.จิตติพัฒน์ เจริญทรัพย์,เก็บงาน QC,Canopy by Hilton (CBH SKV12),33,0,0,8,25,13,ผิด กม.เมียนมา 7 ลาว 7,2026-01-08 18:12:56
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างสี,Canopy by Hilton (CBH SKV12),2,0,0,0,2,2,ผิด กม.เมียนมา 2,2026-01-08 18:12:56
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างปูน,Canopy by Hilton (CBH SKV12),1,0,0,0,1,0,ผิด กม.เมียนมา 1,2026-01-08 18:12:56
นายวัฒนะชัย ขาวงาม,ช่างกระเบื้อง,S'RIN Ratchaphruek Sai1,7,0,0,0,7,0,,2026-01-09 16:56:53
บจก.ชวิน เอ็นจิเนียริ่ง,งานระบบสุขาภิบาล,S'RIN Ratchaphruek Sai1,4,0,0,0,4,0,,2026-01-09 16:56:53
บจก.เอยูเอ็ม แอร์เซอร์วิส,งานระบบเครื่องปรับอากาศ,S'RIN Ratchaphruek Sai1,3,3,0,0,0,0,,2026-01-09 16:56:53
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร,S'RIN Ratchaphruek Sai1,3,2,0,0,1,0,,2026-01-09 16:56:53
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสกิมโค้ทและงานสี,S'RIN Ratchaphruek Sai1,2,0,0,0,2,0,,2026-01-09 16:56:53
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,สโตร์,S'RIN Ratchaphruek Sai1,1,1,0,0,0,0,,2026-01-09 16:56:53
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,Head Man งานสถาปัตย์,S'RIN Ratchaphruek Sai1,4,1,0,0,3,0,,2026-01-09 16:56:53
นางสาวเจนจิรา ณัฐศรันย์ดา,งานก่อ-ฉาบ,Renovation of UFM Building,10,2,0,0,8,8,,2026-01-09 17:00:25
บจก.คูริฮารา (ประเทศไทย),งานไฟฟ้า,Renovation of UFM Building,24,24,0,0,0,0,,2026-01-09 17:00:25
บจก.คูริฮารา (ประเทศไทย),งานระบบเครื่องปรับอากาศ,Renovation of UFM Building,6,3,0,3,0,0,,2026-01-09 17:00:25
บจก.เดโชเซี่ยงไฮ้เฟอร์นิเจอร์และก่อสร้าง,สถาปัตย์,Renovation of UFM Building,17,1,0,0,16,2,,2026-01-09 17:00:25
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร,Renovation of UFM Building,13,0,0,0,13,8,,2026-01-09 17:00:25
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสกิมโค้ทและงานสี,Renovation of UFM Building,5,0,0,0,5,0,,2026-01-09 17:00:25
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างกระเบื้อง,Renovation of UFM Building,2,0,0,0,2,0,,2026-01-09 17:00:25
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างปูน,Renovation of UFM Building,2,0,0,0,2,0,,2026-01-09 17:00:25
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,พนักงานขับรถยก,Renovation of UFM Building,1,0,0,0,1,0,,2026-01-09 17:00:25
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,สโตร์,Renovation of UFM Building,1,0,1,0,0,0,,2026-01-09 17:00:25
บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,สถาปัตย์,Renovation of UFM Building,2,0,0,0,2,0,,2026-01-09 17:00:25
หจก. พี.อาร์.การช่าง,งานโครงหลังคา,Renovation of UFM Building,10,10,0,0,0,0,,2026-01-09 17:00:25
บจก.คูริฮารา (ประเทศไทย),งานระบบสุขาภิบาล,Renovation of UFM Building,6,6,0,0,0,0,,2026-01-09 17:00:25
