   200047	2025-08-25 04:22:19	32	0	1	0
   200247	2025-08-25 04:27:13	32	0	1	0
   201426	2025-08-25 04:31:48	32	0	1	0
   200630	2025-08-25 05:40:09	32	0	1	0
   200630	2025-08-25 05:40:13	32	0	1	0
   400060	2025-08-25 05:43:13	32	0	1	0
   400061	2025-08-25 05:43:23	32	0	1	0
   401639	2025-08-25 05:44:03	32	0	1	0
   411435	2025-08-25 05:44:12	32	0	1	0
   201615	2025-08-25 05:50:33	32	0	1	0
   411680	2025-08-25 05:52:08	32	0	1	0
   411680	2025-08-25 05:52:16	32	0	1	0
   402433	2025-08-25 05:52:39	32	0	1	0
   201608	2025-08-25 05:58:53	32	0	1	0
   201608	2025-08-25 05:59:44	32	0	1	0
   411972	2025-08-25 06:42:46	32	0	1	0
   411972	2025-08-25 06:42:50	32	0	1	0
   411972	2025-08-25 06:42:53	32	0	1	0
   410137	2025-08-25 07:00:14	32	0	1	0
   410137	2025-08-25 07:00:20	32	0	1	0
   410137	2025-08-25 07:00:25	32	0	1	0
   410137	2025-08-25 07:13:31	32	0	1	0
   410137	2025-08-25 07:13:37	32	0	1	0
   410137	2025-08-25 07:13:42	32	0	1	0
   410137	2025-08-25 07:13:51	32	0	1	0
   411932	2025-08-25 07:33:09	32	0	1	0
   200022	2025-08-25 07:35:22	32	0	1	0
   411274	2025-08-25 07:39:53	32	0	1	0
   201595	2025-08-25 07:47:55	32	0	1	0
   411941	2025-08-25 07:49:03	32	0	1	0
   200036	2025-08-25 07:49:47	32	0	1	0
   411938	2025-08-25 07:51:16	32	0	1	0
   411939	2025-08-25 07:52:18	32	0	1	0
   200038	2025-08-25 07:52:44	32	0	1	0
   411682	2025-08-25 07:54:16	32	0	1	0
   201494	2025-08-25 07:57:02	32	0	1	0
   411941	2025-08-25 12:00:02	32	0	1	0
   411938	2025-08-25 12:00:07	32	0	1	0
   411686	2025-08-25 12:00:13	32	0	1	0
   411939	2025-08-25 12:00:20	32	0	1	0
   411932	2025-08-25 12:00:26	32	0	1	0
   200036	2025-08-25 12:00:34	32	0	1	0
   200022	2025-08-25 12:00:40	32	0	1	0
   411682	2025-08-25 12:00:49	32	0	1	0
   201494	2025-08-25 12:02:31	32	0	1	0
   200038	2025-08-25 12:11:44	32	0	1	0
   410137	2025-08-25 12:19:16	32	0	1	0
   200038	2025-08-25 12:35:07	32	0	1	0
   411932	2025-08-25 12:46:44	32	0	1	0
   200036	2025-08-25 12:47:24	32	0	1	0
   410137	2025-08-25 12:48:06	32	0	1	0
   410137	2025-08-25 12:48:10	32	0	1	0
   200022	2025-08-25 12:50:03	32	0	1	0
   411686	2025-08-25 12:52:55	32	0	1	0
   411938	2025-08-25 12:53:33	32	0	1	0
   411941	2025-08-25 12:54:11	32	0	1	0
   411941	2025-08-25 12:54:15	32	0	1	0
   411682	2025-08-25 12:55:02	32	0	1	0
   201494	2025-08-25 12:55:59	32	0	1	0
   411939	2025-08-25 12:57:49	32	0	1	0
   200036	2025-08-25 17:00:02	32	0	1	0
   411932	2025-08-25 17:00:10	32	0	1	0
   200022	2025-08-25 17:00:17	32	0	1	0
   411938	2025-08-25 17:00:22	32	0	1	0
   411941	2025-08-25 17:00:29	32	0	1	0
   411939	2025-08-25 17:00:34	32	0	1	0
   200038	2025-08-25 17:00:40	32	0	1	0
   411686	2025-08-25 17:00:57	32	0	1	0
   411682	2025-08-25 17:01:11	32	0	1	0
   200047	2025-08-25 17:01:18	32	0	1	0
   201494	2025-08-25 17:01:50	32	0	1	0
   411972	2025-08-25 17:02:21	32	0	1	0
   411972	2025-08-25 17:02:24	32	0	1	0
   411972	2025-08-25 17:02:28	32	0	1	0
   411274	2025-08-25 17:20:10	32	0	1	0
   200038	2025-08-25 17:30:08	32	0	1	0
   411932	2025-08-25 17:42:27	32	0	1	0
   411932	2025-08-25 17:42:35	32	0	1	0
   200022	2025-08-25 17:50:53	32	0	1	0
   411941	2025-08-25 17:52:26	32	0	1	0
   411938	2025-08-25 17:52:32	32	0	1	0
   411682	2025-08-25 17:56:42	32	0	1	0
   411939	2025-08-25 17:57:03	32	0	1	0
   201494	2025-08-25 17:57:15	32	0	1	0
   200808	2025-08-25 17:59:57	32	0	1	0
   201595	2025-08-25 19:00:03	32	0	1	0
   201595	2025-08-25 19:00:06	32	0	1	0
   410137	2025-08-25 19:01:15	32	0	1	0
   410137	2025-08-25 19:01:21	32	0	1	0
   410137	2025-08-25 19:01:27	32	0	1	0
   201426	2025-08-25 20:00:02	32	0	1	0
   201572	2025-08-25 21:00:03	32	0	1	0
   201572	2025-08-25 21:00:08	32	0	1	0
   411277	2025-08-25 21:00:13	32	0	1	0
   401639	2025-08-25 21:00:19	32	0	1	0
   411435	2025-08-25 21:00:26	32	0	1	0
   410962	2025-08-25 21:00:32	32	0	1	0
   410962	2025-08-25 21:00:34	32	0	1	0
   411938	2025-08-25 21:00:37	32	0	1	0
   200030	2025-08-25 21:00:42	32	0	1	0
   400061	2025-08-25 21:00:48	32	0	1	0
   411941	2025-08-25 21:00:54	32	0	1	0
   400060	2025-08-25 21:00:59	32	0	1	0
   411932	2025-08-25 21:01:05	32	0	1	0
   411203	2025-08-25 21:01:10	32	0	1	0
   200022	2025-08-25 21:01:19	32	0	1	0
   411680	2025-08-25 21:01:26	32	0	1	0
   200038	2025-08-25 21:01:32	32	0	1	0
   402433	2025-08-25 21:01:39	32	0	1	0
   201494	2025-08-25 21:01:46	32	0	1	0
   411682	2025-08-25 21:01:54	32	0	1	0
   201608	2025-08-25 21:02:01	32	0	1	0
   200247	2025-08-25 21:02:43	32	0	1	0
   200630	2025-08-25 21:02:49	32	0	1	0
   200630	2025-08-25 21:02:53	32	0	1	0
   411939	2025-08-25 21:03:06	32	0	1	0
   411939	2025-08-25 21:03:12	32	0	1	0
   201615	2025-08-25 21:03:54	32	0	1	0
   201426	2025-08-26 04:02:33	32	0	1	0
   200047	2025-08-26 04:10:41	32	0	1	0
   200247	2025-08-26 04:12:17	32	0	1	0
   200630	2025-08-26 05:34:26	32	0	1	0
   200630	2025-08-26 05:34:31	32	0	1	0
   201615	2025-08-26 05:43:37	32	0	1	0
   200030	2025-08-26 05:44:32	32	0	1	0
   201572	2025-08-26 05:45:20	32	0	1	0
   201572	2025-08-26 05:45:26	32	0	1	0
   400060	2025-08-26 05:48:36	32	0	1	0
   400061	2025-08-26 05:48:40	32	0	1	0
   411435	2025-08-26 05:51:59	32	0	1	0
   401639	2025-08-26 05:52:05	32	0	1	0
   411680	2025-08-26 05:52:11	32	0	1	0
   201595	2025-08-26 05:52:46	32	0	1	0
   201595	2025-08-26 05:52:49	32	0	1	0
   411203	2025-08-26 05:55:17	32	0	1	0
   402433	2025-08-26 05:56:22	32	0	1	0
   410962	2025-08-26 05:57:26	32	0	1	0
   410962	2025-08-26 05:57:32	32	0	1	0
   411277	2025-08-26 05:58:21	32	0	1	0
   201608	2025-08-26 05:58:28	32	0	1	0
   410137	2025-08-26 06:45:40	32	0	1	0
   410137	2025-08-26 06:45:44	32	0	1	0
   410137	2025-08-26 06:45:48	32	0	1	0
   411686	2025-08-26 06:54:25	32	0	1	0
   411972	2025-08-26 06:59:41	32	0	1	0
   411972	2025-08-26 06:59:45	32	0	1	0
   411972	2025-08-26 06:59:49	32	0	1	0
   200808	2025-08-26 07:01:20	32	0	1	0
   411932	2025-08-26 07:38:38	32	0	1	0
   411932	2025-08-26 07:38:42	32	0	1	0
   200022	2025-08-26 07:39:01	32	0	1	0
   411274	2025-08-26 07:52:21	32	0	1	0
   200038	2025-08-26 07:54:12	32	0	1	0
   411938	2025-08-26 07:54:17	32	0	1	0
   411941	2025-08-26 07:54:25	32	0	1	0
   200036	2025-08-26 07:54:31	32	0	1	0
   201494	2025-08-26 07:55:49	32	0	1	0
   411939	2025-08-26 07:56:05	32	0	1	0
   411682	2025-08-26 07:57:10	32	0	1	0
   411686	2025-08-26 12:00:02	32	0	1	0
   411938	2025-08-26 12:00:08	32	0	1	0
   200022	2025-08-26 12:00:14	32	0	1	0
   411682	2025-08-26 12:00:20	32	0	1	0
   411939	2025-08-26 12:00:27	32	0	1	0
   410137	2025-08-26 12:00:37	32	0	1	0
   410137	2025-08-26 12:00:41	32	0	1	0
   200036	2025-08-26 12:02:03	32	0	1	0
   200038	2025-08-26 12:09:46	32	0	1	0
   200036	2025-08-26 12:15:04	32	0	1	0
   411932	2025-08-26 12:23:42	32	0	1	0
   411932	2025-08-26 12:23:48	32	0	1	0
   411941	2025-08-26 12:25:00	32	0	1	0
   201494	2025-08-26 12:25:07	32	0	1	0
   410137	2025-08-26 12:42:48	32	0	1	0
   410137	2025-08-26 12:42:52	32	0	1	0
   200038	2025-08-26 12:45:42	32	0	1	0
   200022	2025-08-26 12:49:06	32	0	1	0
   411686	2025-08-26 12:53:51	32	0	1	0
   411938	2025-08-26 12:54:22	32	0	1	0
   411939	2025-08-26 12:55:04	32	0	1	0
   411682	2025-08-26 13:00:08	32	0	1	0
   411932	2025-08-26 13:05:40	32	0	1	0
   411932	2025-08-26 13:05:44	32	0	1	0
   411932	2025-08-26 17:00:03	32	0	1	0
   200022	2025-08-26 17:00:09	32	0	1	0
   411686	2025-08-26 17:00:16	32	0	1	0
   411939	2025-08-26 17:00:23	32	0	1	0
   201426	2025-08-26 17:00:31	32	0	1	0
   411941	2025-08-26 17:00:36	32	0	1	0
   411274	2025-08-26 17:00:43	32	0	1	0
   411938	2025-08-26 17:00:48	32	0	1	0
   411682	2025-08-26 17:01:16	32	0	1	0
   200047	2025-08-26 17:01:28	32	0	1	0
   201595	2025-08-26 17:01:41	32	0	1	0
   201595	2025-08-26 17:01:46	32	0	1	0
   411972	2025-08-26 17:01:56	32	0	1	0
   411972	2025-08-26 17:02:00	32	0	1	0
   411972	2025-08-26 17:02:04	32	0	1	0
   201494	2025-08-26 17:05:05	32	0	1	0
   200038	2025-08-26 17:09:57	32	0	1	0
   200036	2025-08-26 17:11:50	32	0	1	0
   200036	2025-08-26 17:11:53	32	0	1	0
   411932	2025-08-26 17:35:55	32	0	1	0
   411932	2025-08-26 17:36:01	32	0	1	0
   200038	2025-08-26 17:39:05	32	0	1	0
   201608	2025-08-26 17:43:16	32	0	1	0
   411274	2025-08-26 17:51:04	32	0	1	0
   201572	2025-08-26 17:51:16	32	0	1	0
   201572	2025-08-26 17:51:22	32	0	1	0
   200022	2025-08-26 17:51:34	32	0	1	0
   411938	2025-08-26 17:53:39	32	0	1	0
